Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2010-10-28,SeaCube Container Leasing ,BOX,J.P. Morgan/ Citi/ Deutsche Bank Securities/ Wells Fargo Securities,10.0,11.0,11.0,10.0,1.0,1.0
2010-10-29,Le Gaga Holdings Limited ,GAGA,BofA Merrill Lynch/ UBS Investment Bank,9.5,9.06,11.26,18.53,-0.44,1.76
2010-11-02,Xueda Education Group ,XUE,Goldman Sachs (Asia) L.L.C.,9.5,14.3,12.5,31.58,4.8,3.0
2010-11-03,SinoTech Energy Limited ,CTE,Citi/ UBS Investment Bank/ Deutsche Bank Securities,8.5,8.5,6.86,-19.29,0.0,-1.64
2010-11-03,SodaStream International Ltd. ,SODA,J.P. Morgan/ Deutsche Bank Securities,20.0,24.75,24.12,20.6,4.75,4.12
2010-11-04,Costamare ,CMRE,Morgan Stanley/ BofA Merrill Lynch,12.0,12.02,11.85,-1.25,0.02,-0.15
2010-11-05,The Fresh Market ,TFM,BofA Merrill Lynch/J.P. Morgan/Goldman Sachs,22.0,34.0,32.11,45.95,12.0,10.11
2010-11-05,Primo Water ,PRMW,Stifel Nicolaus Weisel,12.0,14.86,12.95,7.92,2.86,0.95
2010-11-10,Noah Holdings Limited ,NOAH,J.P. Morgan/ BofA Merrill Lynch,12.0,15.0,15.99,33.25,3.0,3.99
2010-11-10,RDA Microelectronics ,RDA,Morgan Stanley/ Credit Suisse,9.0,10.11,10.75,19.44,1.11,1.75
2010-11-11,Inph ,IPHI,Morgan Stanley.Deutsche Bank/Jefferies,12.0,15.13,15.3,27.5,3.13,3.3
2010-11-11,Complete Genomics ,GNOM,UBS Investment Bank/ Jefferies & Company,9.0,8.5,8.03,-10.78,-0.5,-0.97
2010-11-17,Bitauto Holdings Limited ,BITA,Citi/ UBS Investment Bank,12.0,12.0,12.45,3.75,0.0,0.45
2010-11-17,Booz Allen & Hamilton ,BAH,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch Credit Suisse,17.0,17.26,19.25,13.24,0.26,2.25
2010-11-18,General Motors Company ,GM,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ Citi,33.0,35.0,34.19,3.61,2.0,1.19
2010-11-18,LPL investmens ,LPLA,Goldman Sachs/Morgan Stanley,30.0,33.05,32.15,7.17,3.05,2.15
2010-11-19,Aeroflex Holdings ,ARX,"Goldman, Sachs/ Credit Suisse/ J.P. Morgan/ Morgan Stanley",13.5,12.67,12.67,-6.15,-0.83,-0.83
2010-11-19,Lizhan Environmental ,LZEN,Maxim Group LLC,4.0,4.0,4.01,0.25,0.0,0.01
2010-11-23,China Xiniya Fashion Limited ,XNY,Cowen,11.0,11.0,9.95,-9.55,0.0,-1.05
2010-11-23,Zogenix ,ZGNX,Wells Fargo Securities/ Leerink Swann,4.0,5.0,3.98,-0.5,1.0,-0.02
2010-11-24,SYSWIN ,SYSW,Morgan Stanley,7.0,7.0,6.2,-11.43,0.0,-0.8
2010-11-24,L&L Acquisition ,LLACQU,Morgan Joseph,10.0,10.0,10.0,0.0,0.0,0.0
2010-11-24,Anacor Pharmaceuticals ,ANAC,Citi/ Deutsche Bank Securities,5.0,5.0,5.09,1.8,0.0,0.09
2010-12-02,FXCM ,FXCM,Credit Suisse/ J.P. Morgan/ Citi,14.0,15.0,14.85,6.07,1.0,0.85
2010-12-07,Targa Resources Investments ,TRGP,Barclays Capital,22.0,24.1,24.7,12.27,2.1,2.7
2010-12-08,CTPartners Executive Search  ,CTP,William Blair & Company/ C.L. King & Associates,13.0,13.0,13.0,0.0,0.0,0.0
2010-12-08,E-Commerce China Dangdang ,DANG,Credit Suisse/ Morgan Stanley,16.0,24.5,29.91,86.94,8.5,13.91
2010-12-08,Youku.com ,YOKU,Goldman Sachs (Asia),12.8,27.0,27.0,110.94,14.2,14.2
2010-12-09,Bona Film Group Limited ,BONA,BofA Merrill Lynch/ J.P. Morgan,8.5,8.5,6.6,-22.35,0.0,-1.9
2010-12-09,First Republic Bank ,FRC,BofA Merrill Lynch/ Morgan Stanley/ J.P. Morgan,25.5,27.25,27.92,9.49,1.75,2.42
