Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2015-07-23,Neos Therapeutics ,NEOS,UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets,15.0,18.22,19.54,30.27,3.22,4.54
2015-07-23,Hennessy Capital Acquisition Corp II  ,HCACU,UBS Investment Bank/ Cantor Fitzgerald/ BMO Capital Markets,10.0,10.0,10.0,0.0,0.0,0.0
2015-07-23,Live Oak Bancshares ,LOB,"Sandler O’Neill & Partners, L.P",17.0,18.5,19.07,12.18,1.5,2.07
2015-07-24,JM Global Holding ,WYIGU,Cantor Fitzgerald,10.0,10.0,10.06,0.6,0.0,0.06
2015-07-28,NantKwest ,NK,BofA Merrill Lynch/ Citigroup/ Jefferies/ Piper Jaffray,25.0,37.0,34.64,38.56,12.0,9.64
2015-07-30,vTv Therapeutics ,VTV,Piper Jaffray/ Stifel,15.0,14.0,10.89,-27.4,-1.0,-4.11
2015-07-30,Global Partner Acquisition ,GPACU,Deutsche Bank Securities,10.0,10.01,10.03,0.3,0.01,0.03
2015-07-30,Easterly Acquisition   ,EACQU,Citigroup,10.0,10.0,9.99,-0.1,0.0,-0.01
2015-07-31,TerraForm Global  ,GLBL,J.P. Morgan/ Barclays/ Citigroup/ Morgan Stanley,15.0,14.0,14.0,-6.67,-1.0,-1.0
2015-07-31,Aqua Metals  ,AQMS,National Securities Corporation,5.0,6.5,5.35,7.0,1.5,0.35
2015-08-05,Amplify Snack Brands ,BETR,Goldman Sachs/ Jefferies/ Credit Suisse,18.0,17.0,16.14,-10.33,-1.0,-1.86
2015-08-05,Sunrun ,RUN,Credit Suisse/ Goldman Sachs/ Morgan Stanley,14.0,13.06,10.77,-23.07,-0.94,-3.23
2015-08-05,Zynerba Pharmeceuticals ,ZYNE,Jefferies/ Piper Jaffray,14.0,18.0,16.25,16.07,4.0,2.25
2015-08-06,Aimmune Therapeutics ,AIMT,BofA Merrill Lynch/ Credit Suisse/ Piper Jaffray,16.0,17.5,24.1,50.63,1.5,8.1
2015-08-06,Planet Fitness  ,PLNT,J.P. Morgan Securities Merrill Lynch/ Jefferies/ Credit Suisse Securities,16.0,14.5,16.0,0.0,-1.5,0.0
2015-08-12,Global Blood Therapeutics ,GBT,Morgan Stanley/ Goldman Sachs,20.0,34.65,43.11,115.55,14.65,23.11
2015-08-13,Conifer Holdings ,CNFR,BMO Capital Markets/ Raymond James,10.5,9.75,10.5,0.0,-0.75,0.0
2015-08-13,E-compass Acquisition ,ECACU,Cantor Fitzgerald,10.0,10.05,10.04,0.4,0.05,0.04
2015-08-13,Houlihan Lokey ,HLI,BofA Merrill Lynch/ Goldman Sachs,21.0,22.11,22.4,6.67,1.11,1.4
2015-08-14,Gores Holdings ,GRSHU,Deutsche Bank Securities,10.0,10.03,10.49,4.9,0.03,0.49
2015-09-11,Pace Holdings  ,PACEU,Deutsche Bank Securities/ Citigroup,10.0,10.1,10.11,1.1,0.1,0.11
2015-09-11,Double Eagle Acquisition ,EAGLU,Deutsche Bank Securities/ BofA Merrill Lynch,10.0,10.01,10.05,0.5,0.01,0.05
2015-09-17,REGENXBIO Inc.  ,RGNX,Morgan Stanley/ BofA Merrill Lynch/ Piper Jaffray,22.0,30.26,30.45,38.41,8.26,8.45
2015-09-18,Nabriva Therapeutics AG ,NBRV,Leerink Partners/ RBC Capital Markets,10.25,11.39,13.24,29.17,1.14,2.99
2015-09-18,Penumbra  ,PEN,J.P. Morgan/ BofA Merrill Lynch,30.0,40.0,41.3,37.67,10.0,11.3
2015-09-22,Boulevard Acquisition Corp. II  ,BLVDU,Citigroup,10.0,10.0,9.96,-0.4,0.0,-0.04
2015-10-01,Surgery Partners ,SGRY,BofA Merrill Lynch/ Goldman Sachs/ Jefferies,19.0,17.45,18.11,-4.68,-1.55,-0.89
2015-10-01,Performance Food Group  ,PFGC,Credit Suisse/ Barclays/ Wells Fargo Securities/ Morgan Stanley,19.0,19.0,19.2,1.05,0.0,0.2
2015-10-01,Mirna Therapeutics ,MIRN,Citigroup/ Leerink Partners,7.0,7.25,7.04,0.57,0.25,0.04
2015-10-01,Edge Therapeutics ,EDGE,Leerink Partners/ Credit Suisse,11.0,11.6,12.94,17.64,0.6,1.94
2015-10-02,NovoCure ,NVCR,J.P. Morgan/ Deutsche Bank Securities/ Evercore ISI/ Wells Fargo Securities,22.0,19.23,18.28,-16.91,-2.77,-3.72
2015-10-07,Aclaris Therapeutics ,ACRS,Jefferies/ Citigroup,11.0,11.94,11.05,0.45,0.94,0.05
2015-10-07,Pure Storage ,PSTG,Morgan Stanley/ Goldman Sachs/ Barclays/ Allen & Company/ BofA Merrill Lynch,17.0,16.74,16.01,-5.82,-0.26,-0.99
2015-10-08,CytomX Therapeutics ,CTMX,BofA Merrill Lynch/ Jefferies/ Cowen and Company,12.0,15.6,12.9,7.5,3.6,0.9
2015-10-08,Allegiance Bancshares ,ABTX,Baird/ Stephens,21.0,22.31,23.12,10.1,1.31,2.12
2015-10-09,CPI Card Group ,PMTS,BMO Capital Markets/ Goldman Sachs/ CIBC,10.0,11.0,12.17,21.7,1.0,2.17
2015-10-14,Capitol Acquisition Corp. III ,CLACU,Citigroup/ Deutsche Bank Securities/ Credit Suisse,10.0,10.0,10.0,0.0,0.0,0.0
2015-10-14,Cerecor ,CERCU,Maxim Group LLC,6.5,6.59,6.4,-1.54,0.09,-0.1
2015-10-14,First Data   ,FDC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ KKR/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ HSBC/ Mizuho Securities/ PNC Capital Markets/ SunTrust Robinson Humphrey/ Wells Fargo Securities,16.0,16.39,15.75,-1.56,0.39,-0.25
2015-10-14,Pacific Special Acquisition ,PAACU,EarlyBirdCapital,10.0,10.02,10.03,0.3,0.02,0.03
2015-10-19,American Farmland ,AFCO,Deutsche Bank Securities/ Citigroup/ Raymond James/ RBC Capital Markets/ FBR,8.0,7.0,6.93,-13.38,-1.0,-1.07
2015-10-21,Ferrari N.V. ,RACE,UBS Investment Bank/ BofA Merrill Lynch/ Santander,52.0,60.0,55.0,5.77,8.0,3.0
2015-10-21,Multi Packaging Solutions International ,MPSX,BofA Merrill Lynch/ Barclays/ Citigroup,13.0,13.25,15.83,21.77,0.25,2.83
2015-10-22,Dimension Therapeutics ,DMTX,Goldman Sachs/ Citigroup/ Wells Fargo Securities,13.0,12.6,10.8,-16.92,-0.4,-2.2
2015-10-27,Adesto Technologies ,IOTS,Needham & Company/ Oppenheimer & Co.,5.0,5.6,5.9,18.0,0.6,0.9
2015-10-29,MyoKardia ,MYOK,Credit Suisse/ Cowen and Company,10.0,11.08,10.53,5.3,1.08,0.53
2015-11-11,Wave Life Sciences Pte Ltd. ,WVE,Jefferies/ Leerink Partners,16.0,17.05,16.0,0.0,1.05,0.0
2015-11-11,Voyager Therapeutics ,VYGR,Cowen and Company/ Piper Jaffray,14.0,15.1,17.75,26.79,1.1,3.75
2015-11-11,Equity Bancshares ,EQBK,"Keefe, Bruyette & Woods (A Stifel Company)/ Stephens",22.5,24.25,23.89,6.18,1.75,1.39
2015-11-11,Advanced Accelerator Applications S.A. ,AAAP,Citigroup/ Jefferies​ ​,16.0,18.5,24.5,53.13,2.5,8.5
2015-11-13,Instructure ,INST,Morgan Stanley/ Goldman Sachs/ Jefferies,16.0,16.0,18.0,12.5,0.0,2.0
2015-11-13,Xtera Communications ,XCOM,Needham & Company/ Cowen and Company/ BMO Capital Markets,5.0,5.15,5.0,0.0,0.15,0.0
2015-11-18,Match Group ,MTCH,J.P. Morgan/ Allen & Company/ BofA Merrill Lynch,12.0,13.5,14.74,22.83,1.5,2.74
2015-11-19,Square,SQ,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,9.0,11.2,13.07,45.22,2.2,4.07
2015-11-19,Axsome Therapeutics ,AXSM,Ladenburg Thalmann,9.0,9.0,9.07,0.78,0.0,0.07
2015-11-19,Mimecast Ltd. ,MIME,Goldman Sachs/ Barclays/ Jefferies/ RBC Capital Markets,10.0,11.0,10.1,1.0,1.0,0.1
2015-11-20,Duluth Holdings ,DLTH,William Blair/ Baird/ Raymond James/ BMO Capital Markets,12.0,5.15,13.36,11.33,-6.85,1.36
2015-11-25,Andina Acquisition Corp. II ,ANDAU,"EarlyBirdCapital, Inc.",10.0,9.97,9.9,-1.0,-0.03,-0.1
2015-12-10,Atlassian Corporation Plc ,TEAM,Goldman Sachs/ Morgan Stanley,21.0,27.67,27.78,32.29,6.67,6.78
2015-12-18,Yirendai Ltd. ,YRD,Morgan Stanley/ Credit Suisse/ China Renaissance,10.0,10.0,9.1,-9.0,0.0,-0.9
2016-02-03,"BeiGene, Ltd. ",BGNE,Goldman Sachs/ Morgan Stanley/ Cowen and Company,24.0,28.97,28.32,18.0,4.97,4.32
2016-02-03,Editas Medicine ,EDIT,Morgan Stanley/ J.P. Morgan,16.0,18.0,18.2,13.75,2.0,2.2
2016-02-11,Proteostasis Therapeutics ,PTI,Leerink Partners/ RBC Capital Markets,8.0,8.0,6.64,-17.0,0.0,-1.36
2016-02-11,AveXis ,AVXS,Goldman Sachs/ Jefferies,20.0,18.02,18.05,-9.75,-1.98,-1.95
2016-02-24,Silver Run Acquisition ,SRAQU,Deutsche Bank Securities/ Citigroup/ Goldman Sachs,10.0,10.01,10.21,2.1,0.01,0.21
2016-03-03,Jensyn Acquisition ,JSYNU,Chardan Capital Markets,10.0,9.95,9.95,-0.5,-0.05,-0.05
2016-03-03,Syndax Pharmaceuticals ,SNDX,Morgan Stanley/ Citigroup,12.0,12.11,12.01,0.08,0.11,0.01
2016-03-11,KLR Energy Acquisition ,KLREU,EarlyBirdCapital,10.0,10.0,10.0,0.0,0.0,0.0
2016-03-22,Corvus Pharmaceuticals ,CRVS,Credit Suisse/ Cowen and Company,15.0,15.0,14.25,-5.0,0.0,-0.75
2016-04-07,Aeglea BioTherapeutics ,AGLE,UBS Investment Bank/ BMO Capital Markets/ Wells Fargo Securities,10.0,10.4,9.77,-2.3,0.4,-0.23
2016-04-15,Bats Global Markets ,BATS,Morgan Stanley/ Citigroup,19.0,22.88,23.0,21.05,3.88,4.0
2016-04-20,MGM Growth Properties LLC ,MGP,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Evercore ISI/ Barclays/ Citigroup/ Deutsche Bank Securities,21.0,22.75,22.01,4.81,1.75,1.01
2016-04-21,American Renal Associates Holdings ,ARA,BofA Merrill Lynch/ Barclays/ Goldman Sachs/ Wells Fargo Securities/ SunTrust Robinson Humphrey/Leerink Partners,22.0,26.5,26.5,20.45,4.5,4.5
2016-04-22,SecureWorks ,SCWX,BofA Merrill Lynch/ Morgan Stanley/ Goldman Sachs/ J.P. Morgan,14.0,13.91,14.0,0.0,-0.09,0.0
2016-04-27,Yintech Investment Holdings Limited ,YIN,Jefferies,13.5,13.8,13.5,0.0,0.3,0.0
2016-04-27,Red Rock Resorts ,RRR,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,19.5,18.5,18.7,-4.1,-1.0,-0.8
2016-05-06,Intellia Therapeutics ,NTLA,Credit Suisse/ Jefferies/ Leerink Partners,18.0,22.0,22.1,22.78,4.0,4.1
2016-05-06,Spring Bank Pharmaceuticals ,SBPH,Dawson James Securities,12.0,11.28,11.1,-7.5,-0.72,-0.9
2016-05-12,SiteOne Landscape Supply ,SITE,Deutsche Bank Securities/ Goldman Sachs/ UBS Investment Bank,21.0,25.9,26.67,27.0,4.9,5.67
2016-05-13,Acacia Communications,ACIA,Goldman Sachs/ BofA Merrill Lynch/ Deutsche Bank Securities,23.0,29.0,30.95,34.57,6.0,7.95
2016-05-13,Oncobiologics ,ONSIU,Jefferies/ Barclays,6.0,5.12,4.8,-20.0,-0.88,-1.2
2016-05-18,PhaseRx ,PZRX,Laidlaw & Company (UK) Ltd.,4.0,4.13,4.17,4.25,0.13,0.17
2016-05-19,Grupo Supervielle S.A. ,SUPV,Morgan Stanley/ BofA Merrill Lynch,11.0,11.5,11.5,4.55,0.5,0.5
2016-05-19,Merus B.V. ,MRUS,Citigroup/ Jefferies,10.0,9.75,10.04,0.4,-0.25,0.04
2016-05-20,CF Corporation ,CFCOU,Citigroup/ BofA Merrill Lynch/ Credit Suisse​,10.0,10.04,9.99,-0.1,0.04,-0.01
2016-05-24,Midland States Bancorp ,MSBI,"Sandler O'Neill + Partners/ Keefe, Bruyette & Woods (A Stifel Company)",22.0,22.06,21.9,-0.45,0.06,-0.1
2016-05-26,Cotiviti Holdings ,COTV,Goldman Sachs/ J.P. Morgan,19.0,19.5,17.11,-9.95,0.5,-1.89
2016-05-26,Landcadia Holdings ,LCAHU,Jefferies/ Deutsche Bank Securities,10.0,10.0,10.0,0.0,0.0,0.0
2016-05-26,GMS,GMS,Barclays/ Credit Suisse,21.0,22.5,21.91,4.33,1.5,0.91
2016-05-26,US Foods Holding ,USFD,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,23.0,24.25,24.91,8.3,1.25,1.91
2016-05-26,Reata Pharmaceuticals ,RETA,Citigroup/ Cowen and Company/ Piper Jaffray,11.0,11.06,13.7,24.55,0.06,2.7
2016-06-02,Nant Health ,NH,Jefferies/ Cowen and Company,14.0,16.11,18.59,32.79,2.11,4.59
2016-06-02,Clearside Biomedical ,CLSD,Cowen and Company/ Stifel,7.0,8.0,7.25,3.57,1.0,0.25
2016-06-03,Sensus Healthcare ,SRTSU,Northland Capital Markets/ Neidiger Tucker Bruner,23.0,23.25,24.91,8.3,0.25,1.91
2016-06-10,Atkore International Group ,ATKR,Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ UBS Investment Bank,16.0,15.75,16.0,0.0,-0.25,0.0
2016-06-10,China Online Education Group ,COE,Morgan Stanley/ Credit Suisse,19.0,19.5,18.98,-0.11,0.5,-0.02
2016-06-22,Selecta Biosciences ,SELB,UBS Investment Bank/ Stifel,14.0,15.0,14.0,0.0,1.0,0.0
2016-06-23,Twilio,TWLO,Goldman Sachs/ J.P. Morgan,15.0,23.99,28.79,91.93,8.99,13.79
2016-07-07,M III Acquisition ,MIIIU,Cantor Fitzgerald & Co.,10.0,10.0,9.63,-3.7,0.0,-0.37
2016-07-08,Monster Digital ,MSDI,Axiom Capital Management/ WestPark Capital,4.5,4.0,3.68,-18.22,-0.5,-0.82
2016-07-14,LINE Corporation ,LN,Morgan Stanley/ Nomura/ Goldman Sachs Japan/ J.P. Morgan,32.84,42.0,41.58,26.61,9.16,8.74
2016-07-15,AdvancePierre Foods Holdings ,APFH,Barclays/ Credit Suisse/ Morgan Stanley,21.0,23.5,24.0,14.29,2.5,3.0
2016-07-15,Conyers Park Acquisition ,CPAAU,Deutsche Bank Securities/ Goldman Sachs,10.0,10.05,10.21,2.1,0.05,0.21
2016-07-20,Audentes Therapeutics ,BOLD,BofA Merrill Lynch/ Cowen and Company/ Piper Jaffray,15.0,19.0,15.13,0.87,4.0,0.13
2016-07-21,IMPINJ ,PI,RBC Capital Markets/ Pacific Crest Securities (a division of KeyBanc Capital Markets)/ Piper Jaffray,14.0,18.0,17.97,28.36,4.0,3.97
2016-07-21,Patheon N.V. ,PTHN,J.P. Morgan/ Morgan Stanley/ Jefferies/ UBS Investment Bank,21.0,25.0,24.99,19.0,4.0,3.99
2016-07-22,TPI Composites ,TPIC,J.P. Morgan/ Morgan Stanley,11.0,13.56,13.56,23.27,2.56,2.56
2016-07-27,Kadmon Holdings ,KDMN,Citigroup/ Jefferies,12.0,11.55,9.7,-19.17,-0.45,-2.3
2016-07-28,Tactile Systems Technology ,TCMD,Piper Jaffray/ William Blair/ Canaccord Genuity,10.0,10.35,11.0,10.0,0.35,1.0
2016-07-28,Kinsale Capital Group ,KNSL,J.P. Morgan/ William Blair/ RBC Capital Markets,16.0,18.0,18.35,14.69,2.0,2.35
2016-07-29,Talend SA ,TLND,Goldman Sachs/ J.P. Morgan/ Barclays/ Citigroup,18.0,27.66,25.5,41.67,9.66,7.5
2016-08-04,First Hawaiian ,FHB,Goldman Sachs/ BofA Merrill Lynch/ BNP PARIBAS/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ Citigroup/ Morgan Stanley/ UBS Investment Bank,23.0,24.2,24.25,5.43,1.2,1.25
2016-08-04,At Home Group ,HOME,BofA Merrill Lynch/ Goldman Sachs/ Jefferies/ Morgan Stanley,15.0,16.25,16.31,8.73,1.25,1.31
2016-08-05,Atomera ,ATMR,National Securities Corporation,7.5,8.13,8.08,7.73,0.63,0.58
2016-08-05,Gemphire Therapeutics ,GEMP,Jefferies/ Cowen and Company,10.0,9.25,9.2,-8.0,-0.75,-0.8
2016-08-11,Medpace Holdings ,MEDP,Jefferies/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,23.0,28.15,27.79,20.83,5.15,4.79
2016-08-11,Protagonist Therapeutics ,PTGX,Leerink Partners/ Barclays/ BMO Capital Markets,12.0,12.0,11.7,-2.5,0.0,-0.3
2016-08-12,Airgain ,AIRG,Northland Capital Markets,8.0,8.0,8.0,0.0,0.0,0.0
2016-08-19,Stellar Acquisition III ,STRU,Maxim Group LLC,10.0,10.0,9.97,-0.3,0.0,-0.03
2016-09-14,M I Acquisitions ,MACQU,Chardan Capital Markets,10.0,10.0,10.0,0.0,0.0,0.0
2016-09-15,Noble Midstream Partners LP,NBLX,Barclays/ Baird/ J.P. Morgan/ BofA Merrill Lynch/ Citigroup/ Deutsche Bank Securities/ DNB Markets/ Mizuho Securities/ MUFG/ Wells Fargo Securities,22.5,26.5,26.2,16.44,4.0,3.7
2016-09-16,Everbridge,EVBG,Credit Suisse/ BofA Merrill Lynch,12.0,12.3,15.25,27.08,0.3,3.25
2016-09-16,FB Financial ,FBK,"J.P. Morgan/ UBS/ Keefe, Bruyette & Woods (A Stifel Company)",19.0,21.15,20.75,9.21,2.15,1.75
2016-09-16,Saban Capital Acquisition (SCACU) (u),SCACU,Deutsche Bank Securities/ Goldman Sachs,10.0,10.06,10.05,0.5,0.06,0.05
2016-09-21,The Trade Desk ,TTD,Citigroup/ Jefferies/  RBC Capital Markets,18.0,28.75,30.1,67.22,10.75,12.1
2016-09-21,Novan ,NOVN,Piper Jaffray,11.0,14.4,18.1,64.55,3.4,7.1
2016-09-22,CapStar Financial Holdings ,CSTR,"Keefe, Bruyette & Woods/ Sandler O’Neill + Partners, L.P",15.0,16.56,15.9,6.0,1.56,0.9
2016-09-22,e.l.f. Beauty,ELF,J.P. Morgan/ Morgan Stanley,17.0,24.0,26.5,55.88,7.0,9.5
2016-09-23,AC Immune SA ,ACIU,Credit Suisse/ Jefferies/ Leerink Partners ,11.0,14.11,15.66,42.36,3.11,4.66
2016-09-23,Apptio,APTI,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch",16.0,23.4,22.5,40.63,7.4,6.5
2016-09-23,Gridsum ,GSUM,Goldman Sachs (Asia)/ Citigroup,13.0,15.25,15.75,21.15,2.25,2.75
2016-09-23,Valvoline ,VVV,BofA Merrill Lynch/ Citigroup/ Morgan Stanley,22.0,24.1,23.1,5.0,2.1,1.1
2016-09-29,MedEquities Realty Trust ,MRT,FBR/ J.P. Morgan/ Citigroup/ KeyBanc Capital Markets,12.0,11.5,11.59,-3.42,-0.5,-0.41
2016-09-29,Tabula Rasa HealthCare ,TRHC,Wells Fargo Securities/ UBS Investment Bank/ Piper Jaffray,12.0,14.7,14.88,24.0,2.7,2.88
2016-09-29,Fulgent Genetics ,FLGT,Credit Suisse/ Jefferies,9.0,9.21,9.18,2.0,0.21,0.18
2016-09-30,Nutanix,NTNX,Goldman Sachs/ Morgan Stanley/ J.P. Morgan/ RBC Capital Markets,16.0,26.5,37.0,131.25,10.5,21.0
2016-10-06,Coupa Software ,COUP,Morgan Stanley/ J.P. Morgan/ Barclays/ RBC Capital Markets,18.0,35.0,33.09,83.83,17.0,15.09
2016-10-06,Obalon Therapeutics ,OBLN,UBS Investment Bank/ Canaccord Genuity/ Stifel,15.0,15.21,15.0,0.0,0.21,0.0
2016-10-06,Advanced Disposal Services ,ADSW,Deutsche Bank Securities/ Credit Suisse/ Barclays,18.0,20.5,20.0,11.11,2.5,2.0
2016-10-06,AquaVenture Holdings ,WAAS,Citigroup/ Deutsche Bank Securities/ RBC Capital Markets,18.0,21.0,21.95,21.94,3.0,3.95
2016-10-07,Camping World Holdings ,CWH,Goldman Sachs/ J.P. Morgan,22.0,23.75,22.5,2.27,1.75,0.5
2016-10-07,Everspin Technologies ,MRAM,Stifel/ Needham & Company,8.0,9.1,8.02,0.25,1.1,0.02
2016-10-11,Avista Healthcare Public Acquisition (AHPAU) (u),AHPAU,Credit Suisse,10.0,9.82,9.86,-1.4,-0.18,-0.14
2016-10-11,AzurRx BioPharma ,AZRX,WallachBeth Capital/ Network 1 Financial Securities,5.5,5.06,4.98,-9.45,-0.44,-0.52
2016-10-12,Azure Power Global ,AZRE,Barclays/ Credit Suisse,18.0,16.12,14.6,-18.89,-1.88,-3.4
2016-10-12,Extraction Oil & Gas ,XOG,Credit Suisse/ Barclays/ Goldman Sachs,19.0,22.75,21.85,15.0,3.75,2.85
2016-10-14,Mammoth Energy Services ,TUSK,Credit Suisse/ Barclays/ Simmons & Company International (Energy Specialists of Piper Jaffray),15.0,13.66,13.26,-11.6,-1.34,-1.74
2016-10-19,CRISPR Therapeutics AG ,CRSP,Citigroup/ Piper Jaffray/ Barclays,14.0,15.0,14.09,0.64,1.0,0.09
2016-10-20,Forterra ,FRTA,Goldman Sachs/ Citigroup/ Credit Suisse,18.0,16.61,16.5,-8.33,-1.39,-1.5
2016-10-20,iRhythm Technologies ,IRTC,J.P. Morgan/ Morgan Stanley,17.0,26.75,26.05,53.24,9.75,9.05
2016-10-26,Ra Pharmaceuticals ,RARX,Credit Suisse/ Jefferies/ BMO Capital Markets,13.0,14.16,13.0,0.0,1.16,0.0
2016-10-27,GTY Technology Holdings ,GTYHU,Citigroup,10.0,10.04,10.05,0.5,0.04,0.05
2016-10-27,Myovant Sciences Ltd. ,MYOV,Citigroup/ Cowen and Company/ Evercore ISI/ Barclays,15.0,15.0,13.26,-11.6,0.0,-1.74
2016-10-27,ZTO Express (Cayman) ,ZTO,Morgan Stanley/ Goldman Sachs (Asia),19.5,18.4,16.57,-15.03,-1.1,-2.93
2016-10-28,Acushnet Holdings ,GOLF,J.P. Morgan/ Morgan Stanley/ Nomura/ UBS Investment Bank,17.0,17.04,17.95,5.59,0.04,0.95
2016-10-28,BlackLine ,BL,Goldman Sachs/ J.P. Morgan,17.0,24.52,23.7,39.41,7.52,6.7
2016-10-28,Quantenna Communications ,QTNA,Morgan Stanley/ Barclays/ Deutsche Bank Securities,16.0,16.8,15.5,-3.13,0.8,-0.5
2016-11-02,GDS Holdings Ltd. ,GDS,Credit Suisse/ J.P. Morgan,10.0,10.0,10.41,4.1,0.0,0.41
2016-11-04,Smart Sand ,SND,Credit Suisse/ GoldmanSachs,11.0,10.3,10.99,-0.09,-0.7,-0.01
2016-12-01,Innovative Industrial Properties ,IIPR,Ladenburg Thalmann/ Compass Point,20.0,20.25,19.15,-4.25,0.25,-0.85
2016-12-07,Polar Power ,POLA,Roth Capital Partners/ Joseph Gunnar,7.0,7.55,9.0,28.57,0.55,2.0
2016-12-08,SenesTech ,SNES,Roth Capital Partners,8.0,8.25,8.16,2.0,0.25,0.16
2016-12-09,Athene Holding Ltd. ,ATH,Goldman Sachs/ Barclays/ Citigroup/ Wells Fargo Securities,40.0,43.56,44.05,10.13,3.56,4.05
2016-12-09,"Ichor Holdings, Ltd. ",ICHR,Deutsche Bank Securities/ Stifel,9.0,10.25,9.77,8.56,1.25,0.77
2016-12-14,WildHorse Resource Development ,WRD,Barclays/ BofA Merrill Lynch/ BMO Capital Markets/ Citigroup/ Wells Fargo Securities,15.0,15.7,15.06,0.4,0.7,0.06
2016-12-16,trivago N.V. ,TRVG,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,11.0,11.2,11.85,7.73,0.2,0.85
2017-01-13,Gores Holdings II ,GSHTU,Deutsche Bank Securities,10.0,10.16,10.25,2.5,0.16,0.25
2017-01-20,Keane Group ,FRAC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,19.0,22.18,21.65,13.95,3.18,2.65
2017-01-20,FinTech Acquisition Corp. II,FNTEU,Cantor Fitzgerald & Co.,10.0,10.1,10.05,0.5,0.1,0.05
2017-01-26,AnaptysBio ,ANAB,Credit Suisse/ Stifel,15.0,16.0,17.0,13.33,1.0,2.0
2017-01-27,Jounce Therapeutics ,JNCE,J.P. Morgan/ Cowen and Company,16.0,18.0,17.25,7.81,2.0,1.25
2017-02-01,Invitation Homes ,INVH,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs/ Wells Fargo Securities/ Credit Suisse/ Morgan Stanley/ RBC Capital Market,20.0,20.15,20.0,0.0,0.15,0.0
2017-02-01,Laureate Education ,LAUR,Credit Suisse/ Morgan Stanley/ Barclays/ Macquarie Capital/ J.P. Morgan/ BMO Capital Markets/ Citigroup/ KKR/ Goldman Sachs,14.0,12.5,13.25,-5.36,-1.5,-0.75
2017-02-03,"Kimbell Royalty Partners, LP ",KRP,Raymond James/ RBC Capital Markets/ Stifel,18.0,18.11,20.64,14.67,0.11,2.64
2017-02-03,Ramaco Resources ,METC,Credit Suisse/ Jefferies/ BMO Capital Markets,13.5,14.55,13.55,0.37,1.05,0.05
2017-02-10,Sachem Capital ,SACH,Joseph Gunnar,5.0,4.9,5.04,0.8,-0.1,0.04
2017-02-10,Foundation Building Materials ,FBM,Deutsche Bank Securities/ Barclays/ RBC Capital Markets/ Citigroup/ Baird,14.0,15.8,15.5,10.71,1.8,1.5
2017-02-28,Deciphera Pharmaceuticals ,DCPH,J.P. Morgan/ Piper Jaffray,17.0,20.05,17.65,3.82,3.05,0.65
2017-03-01,Hamilton Lane ,HLNE,J.P. Morgan/ Morgan Stanle,16.0,17.85,18.02,12.63,1.85,2.02
2017-03-02,Snap ,SNAP,Morgan Stanley/ Goldma Sachs/ J. P. Morgan/ Deutsche Bank Securities,17.0,23.71,24.48,44.0,6.71,7.48
2017-03-08,BeyondSpring ,BYSI,Rodman & Renshaw (a Unit of H.C. Wainwright & Co.),20.0,20.0,16.8,-16.0,0.0,-3.2
2017-03-08,J.JILL ,JILL,BofA Merrill Lynch/Morgan Stanley/ Jefferies,13.0,12.85,12.65,-2.69,-0.15,-0.35
2017-03-10,Presidio ,PSDO,J.P. Morgan/ Citigroup,14.0,13.5,14.25,1.79,-0.5,0.25
2017-03-10,Matlin & Partners Acquisition ,MPACU,Cantor Fitzgerald & Co.,10.0,10.0,10.01,0.1,0.0,0.01
2017-03-15,Ardagh Group S.A.  ,ARD,"Citigroup/ Deutsche Bank Securities/ Goldman, Sachs/ Barclays/ Credit Suisse/ J.P. Morgan",19.0,21.96,22.91,20.58,2.96,3.91
2017-03-16,Canada Goose Holdings ,GOOS,"CIBC Capital Markets/ Credit Suisse/ Goldman, Sachs/ RBC Capital Markets",12.78,18.0,16.08,25.82,5.22,3.3
2017-03-17,ProPetro Holding ,PUMP,Goldman Sachs/ Barclays/ Credit Suisse/ J.P. Morgan,14.0,15.0,14.5,3.57,1.0,0.5
2017-03-17,MuleSoft ,MULE,"Goldman, Sachs/ J.P. Morgan/ BoA Merrill Lynch",17.0,24.25,24.75,45.59,7.25,7.75
2017-03-24,Silver Run Acquisition Corp II ,SRUNU,Citigroup/ Credit Suisse/ Deutsche Bank Securities,10.0,10.21,10.36,3.6,0.21,0.36
